epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7146,2.19989,2.74491,1.89064,0.18038,0.1684,0.13075,0.05895,2.04682,2.15169,1.84502,0.000474556,0.000474556,0.000474556
2,106.14,1.85308,1.9108,1.70593,0.26811,0.22405,0.19378,0.10068,1.80217,1.91076,1.70228,0.00091951,0.00091951,0.00091951
3,158.617,1.73851,1.75601,1.63838,0.25866,0.22944,0.19525,0.1006,1.74956,1.82135,1.6684,0.00133303,0.00133303,0.00133303
4,211.266,1.66155,1.68585,1.58424,0.28966,0.2513,0.20628,0.10599,1.71809,1.7495,1.6562,0.00128753,0.00128753,0.00128753
5,263.757,1.63246,1.66061,1.56326,0.29064,0.25229,0.21804,0.11434,1.67604,1.72909,1.60833,0.00124037,0.00124037,0.00124037
6,316.138,1.59477,1.64352,1.53628,0.32375,0.26357,0.23021,0.12342,1.63712,1.69364,1.56066,0.00119322,0.00119322,0.00119322
7,368.556,1.57438,1.63163,1.52565,0.31756,0.27069,0.2372,0.12768,1.63274,1.64781,1.56762,0.00114606,0.00114606,0.00114606
8,420.741,1.54814,1.62216,1.50875,0.34056,0.26447,0.24597,0.13495,1.57813,1.65005,1.55125,0.0010989,0.0010989,0.0010989
9,473.19,1.52732,1.5903,1.4873,0.31876,0.27168,0.24042,0.13012,1.60166,1.65193,1.56042,0.00105174,0.00105174,0.00105174
10,525.835,1.52513,1.58303,1.48702,0.31211,0.27381,0.2396,0.13144,1.5594,1.66892,1.53041,0.00100459,0.00100459,0.00100459
11,578.409,1.50607,1.56617,1.46935,0.34551,0.27218,0.25216,0.13845,1.55685,1.62386,1.5155,0.00095743,0.00095743,0.00095743
12,631.118,1.48971,1.54266,1.46017,0.34599,0.27408,0.254,0.14055,1.51981,1.60776,1.50662,0.000910273,0.000910273,0.000910273
13,684.266,1.48372,1.53649,1.46235,0.34291,0.28405,0.24573,0.13499,1.5625,1.66919,1.52151,0.000863116,0.000863116,0.000863116
14,736.705,1.46557,1.53394,1.45302,0.33919,0.28334,0.25379,0.14195,1.51633,1.597,1.5061,0.000815959,0.000815959,0.000815959
15,789.072,1.45216,1.50213,1.43996,0.3597,0.28894,0.26475,0.14714,1.52714,1.57381,1.51587,0.000768802,0.000768802,0.000768802
16,841.954,1.45089,1.52038,1.4431,0.35606,0.28959,0.26283,0.14712,1.5056,1.58826,1.4845,0.000721645,0.000721645,0.000721645
17,894.325,1.43919,1.4886,1.42401,0.34844,0.29887,0.26866,0.15138,1.48853,1.56243,1.48915,0.000674488,0.000674488,0.000674488
18,946.743,1.44032,1.49782,1.42643,0.36779,0.28696,0.26956,0.15164,1.50106,1.55595,1.48779,0.000627331,0.000627331,0.000627331
19,999.481,1.43287,1.48646,1.42884,0.35472,0.29314,0.26748,0.15186,1.4859,1.57765,1.4863,0.000580174,0.000580174,0.000580174
20,1051.76,1.42483,1.49268,1.42443,0.36707,0.2962,0.27037,0.15194,1.47477,1.56997,1.47506,0.000533017,0.000533017,0.000533017
21,1102.4,1.4614,1.56649,1.43251,0.37127,0.2918,0.27309,0.1538,1.45575,1.57856,1.46067,0.00048586,0.00048586,0.00048586
22,1152.24,1.43843,1.51357,1.43442,0.36359,0.28912,0.25673,0.14485,1.46821,1.7181,1.47946,0.000438703,0.000438703,0.000438703
23,1202.09,1.43401,1.48898,1.42849,0.36316,0.30988,0.28092,0.15994,1.44378,1.54909,1.43244,0.000391546,0.000391546,0.000391546
24,1251.7,1.41937,1.46736,1.4142,0.37612,0.30655,0.28612,0.16326,1.44532,1.52307,1.44517,0.000344389,0.000344389,0.000344389
25,1301.31,1.40254,1.45401,1.41064,0.3805,0.30261,0.27283,0.155,1.45002,1.68326,1.45245,0.000297232,0.000297232,0.000297232
26,1350.57,1.39689,1.44776,1.40197,0.3742,0.3104,0.27887,0.16013,1.43279,1.61193,1.44804,0.000250075,0.000250075,0.000250075
27,1399.25,1.38867,1.43283,1.40002,0.37748,0.3025,0.26843,0.1537,1.44049,1.93672,1.46388,0.000202918,0.000202918,0.000202918
28,1448.68,1.38584,1.42007,1.39834,0.37945,0.3142,0.28252,0.16153,1.42428,1.74255,1.4438,0.000155761,0.000155761,0.000155761
29,1498.18,1.37936,1.41986,1.39644,0.3851,0.31266,0.27831,0.15935,1.42071,1.92128,1.45216,0.000108604,0.000108604,0.000108604
30,1547.53,1.37499,1.40758,1.38522,0.38535,0.31202,0.27665,0.15897,1.41696,2.19717,1.45383,6.1447e-05,6.1447e-05,6.1447e-05
